EUKLEMS code,_1970,_1971,_1972,_1973,_1974,_1975,_1976,_1977,_1978,_1979,_1980,_1981,_1982,_1983,_1984,_1985,_1986,_1987,_1988,_1989,_1990,_1991,_1992,_1993,_1994,_1995,_1996,_1997,_1998,_1999,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012
_353,0,0,0,0,0,0,72271,78010,98013,85123,124724,242489,292788,335496,554512,577821,530396,486106,522740,527595,666889,904536,1218396,1490105,1842409,349072,337039,507601,499181,317780,501712,475756,454425,423943,439767,372548,463876,429196,450951,437086,428935,413678,465229
_35x,27578,29899,33924,43233,55734,60893,66172,73043,84504,87141,91729,109378,120590,135926,155009,168685,188678,211954,236923,248333,283569,316309,346139,419567,458130,568248,567927,651836,496578,643354,454989,437533,478975,448011,413084,376492,362535,335432,352434,341598,335228,323304,363593
_36,247106,240213,270364,314604,353761,375909,528112,643202,748919,718856,698365,847329,943538,1165079,1360101,1411071,1978209,2547652,2892704,2919618,2947738,2976706,2721285,2633021,2591520,2454438,2470438,2428219,2102068,2577090,2853733,2669526,2785922,2851329,2870238,2871140,2674422,3181061,3117448,3174190,3336425,3729398,3555224
_37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_40x,206487,255092,272880,325417,369145,409797,507503,549361,744066,792107,813550,941293,993808,1311708,1691584,2077639,2637144,2947086,3189188,3488804,4097391,4472203,4784510,5353835,6048805,6343303,7106146,7943601,8112651,8797013,10035592,10449347,11310584,11941365,12586105,13528901,14077477,14165406,15215722,16044233,16808894,17424058,17612227
_402,628,648,1059,1811,3892,4929,3117,4009,3987,4596,8597,7891,7945,10500,25620,22447,32930,55517,100885,140984,189322,232697,377639,498860,644646,855515,1002922,1138127,1097345,1381259,1620515,2157685,2408992,2432211,2758528,3138241,3209412,3273023,3522795,3596899,4020896,4054808,4348054
_41,39717,44425,89038,95956,113030,145132,175835,182341,221020,260918,480708,560032,602453,714223,765688,657670,789539,821756,924248,1074880,1218456,1354449,1419609,1547544,1683343,1685173,1690992,1696909,1531988,1530114,1556393,1562035,1538381,1607742,1690683,1693525,1718747,1722730,1652065,1691913,1716787,1792896,1821687
_F,4694932,4578347,4484283,5741512,6389730,6806242,7441648,9647328,12485494,13040737,12565589,11757063,13817836,16875435,17748903,18503547,18993884,21418261,23491632,26900751,33768600,38496880,38454046,42107110,44509842,47924896,52192176,53667270,48295174,44458634,42926722,45278949,46529412,50548698,51459128,51412960,51360869,52291894,51007462,51915387,50535600,48361254,47596815
_50,173671,195845,210340,279784,329378,311850,350097,380361,471691,469132,476208,462374,490708,543137,554996,572379,657643,687075,688696,805152,1084660,1276754,1369427,1546810,1810096,2001000,2192468,2387682,2052008,2389326,2486140,2661205,2857811,3102372,2992177,3075504,3188425,3011086,3049959,2908624,3167210,3357648,3559536
_51,1944185,2354713,2661108,3051100,3418767,3549487,4004417,4246942,4594938,4717430,4363264,4793257,5135717,5675884,6247948,6694850,7919376,9196325,10208077,10419873,11318780,12013731,12403519,13014117,14029205,14519071,15444265,15777816,13892284,15927840,17457915,18008417,18948510,18094091,18106655,18654054,19413470,19794868,19930023,20417067,22082527,23412297,24177470
