EUKLEMS code,_1970,_1971,_1972,_1973,_1974,_1975,_1976,_1977,_1978,_1979,_1980,_1981,_1982,_1983,_1984,_1985,_1986,_1987,_1988,_1989,_1990,_1991,_1992,_1993,_1994,_1995,_1996,_1997,_1998,_1999,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012
_17,228.4790039,240.0110016,349.4590149,567.9920044,561.3880005,490.0369873,596.7369995,515.8839722,558.2509766,601.0570068,512.5689697,540.7360229,494.0029907,334.4200134,510.7340088,514.0360107,534.5529785,603.0479736,618.9569702,642.1920166,557.7960205,609.8579712,565.3720093,455.4819946,508.2890015,476.7600098,413.3439941,356.6910095,310.3399963,347.6220093,392.1140137,364.6820068,331.2909851,307.2470093,283.4030151,243.7079926,207.1649933,185.8760071,176.1970062,152.7400055,161.3130035,127.0370026,133.6300049
_18,146.1089935,153.4830017,216.0659943,185.901001,210.0509949,249.1609955,303.4129944,286.5220032,310.052002,303.8359985,282.3039856,298.553009,338.7640076,353.9729919,316.0679932,365.303009,353.9639893,394.1759949,363.2980042,370.5650024,382.2980042,382.8909912,319.9790039,322.2330017,292.1470032,293.2449951,268.9140015,233.6779938,184.6230011,195.0559998,216.2980042,208.3970032,189.5449982,180.2640076,163.4920044,151.0460052,121.4540024,117.4000015,104.0550003,116.9250031,126.2679977,117.5540009,116.6920013
_19,59.54000092,62.54600143,86.93099976,112.7369995,142.7680054,147.5460052,179.6730042,179.7749939,194.5390015,186.3000031,203.0010071,208.9380035,256.0710144,306.3099976,297.7680054,294.3670044,347.8819885,425.5710144,443.8649902,395.4410095,421.45401,320.7890015,272.5710144,201.0099945,142.5720062,122.5459976,98.77300262,87.02400208,65.45400238,78.28500366,90.29599762,79.51999664,69.32900238,62.64400101,56.98899841,49.89500046,42.02799988,33.61700058,27.39699936,31.67499924,40.60499954,57.16600037,50.66799927
_20,156.0059967,163.8800049,94.25299835,64.23899841,81.44300079,67.23200226,81.8710022,94.72699738,102.5059967,81.86299896,71.3789978,61.22900009,54.85400009,61.62099838,58.53300095,52.51399994,51.63800049,57.25600052,60.14300156,64.49700165,62.37400055,48.34000015,54.14099884,53.8409996,50.92100143,49.73799896,44.49300003,41.45299911,27.62199974,36.99100113,39.27700043,34.22700119,39.23899841,39.29000092,40.17599869,36.66999817,40.41699982,34.76800156,33.22600174,33.40399933,40.32600021,51.43899918,47.44400024
_21,43.07300186,45.24700165,38.77600098,37.10599899,41.95999908,52.01100159,63.33599854,69.08899689,74.76300049,78.36699677,80.01399994,76.66999817,75.46099854,85.87200165,85.52600098,87.75299835,92.49900055,103.0749969,112.6320038,119.098999,119.6070023,97.42199707,108.9160004,110.5879974,110.1549988,98.79799652,103.8789978,94.08100128,79.04799652,93.18299866,96.60500336,92.36799622,99.78800201,93.71800232,96.07800293,91.1969986,87.30599976,83.58999634,74.09999847,71.98200226,72.40000153,84.47499847,83.44999695
_221,17.1060009,17.96999931,26.13599968,22.92499924,19.20499992,23.99500084,29.21999931,32.66899872,35.35200119,37.64799881,38.6269989,35.5019989,43.89400101,42.61800003,44.94499969,44.40200043,46.61800003,49.10699844,47.31800079,50.71699905,53.70000076,68.04599762,71.61100006,86.06600189,82.27899933,75.27100372,104.9219971,89.10600281,72.45999908,76.39199829,86.06199646,83.05799866,78.43099976,79.15299988,80.20899963,73.08300018,73.78600311,58.23199844,47.79999924,60.33599854,63.77500153,62.50899887,60.66699982
_22x,5.985000134,6.287000179,8.18900013,5.877999783,7.620999813,5.265999794,6.412000179,6.301000118,6.81799984,8.461000443,8.097999573,9.142000198,9.192000389,10.56299973,23.71500015,25.86000061,29.30599976,26.73900032,35.51599884,44.07799911,49.64400101,57.99900055,58.22399902,55.90200043,66.89499664,80.49500275,51.67300034,66.11000061,48.29100037,82.44000244,59.22499847,67.34899902,73.22000122,74.61399841,73.29599762,65.75700378,64.44300079,73.26999664,60.99000168,46.9280014,58.00400162,62.51900101,63.03499985
_23,7.986999989,8.156999588,7.660999775,7.734000206,11.39700031,13.30200005,18.61599922,21.03700066,18.90500069,17.43099976,22.51399994,24.65399933,24.06100082,24.5,25.05400085,25.88899994,28.62999916,26.93499947,30.90299988,35.39099884,33.6269989,79.89900208,79.49500275,71.7559967,51.97399902,41.63199997,46.37200165,49.95899963,59.32099915,59.23600006,62.08300018,57.4070015,68.6190033,62.17499924,70.87999725,68.44999695,64.8239975,57.5890007,59.71900177,57.24499893,70.94499969,68.89800262,59.86800003
_244,25.63199997,29.80800056,27.2329998,25.40299988,25.68799973,25.04500008,31.34000015,30.5739994,33.93700027,34.06999969,24.80900002,23.40500069,26.62800026,30.77400017,36.0870018,32.99399948,38.05599976,43.96699905,51.88800049,57.19499969,63.15800095,58.22499847,63.41400146,57.52500153,65.83000183,42.27099991,43.17100143,39.2159996,32.77700043,31.30699921,27.32900047,26.13199997,28.08799934,25.10700035,21.19499969,22.16699982,22.54100037,22.10300064,22.59799957,22.25399971,25.1590004,23.46199989,19.66200066
_24x,40.25099945,39.63299942,34.66500092,36.05199814,49.42300034,68.45300293,80.09799957,90.33599854,100.762001,113.8759995,104.0670013,107.185997,101.2519989,105.7509995,127.314003,112.163002,129.8609924,145.5090027,168.4830017,176.8059998,210.1439972,196.9689941,220.0879974,186.147995,202.2559967,243.173996,240.9900055,249.2550049,233.4900055,211.003006,211.2259979,197.151001,206.5590057,202.473999,197.7089996,187.8730011,184.0099945,178.1470032,189.0160065,188.3269958,208.0769958,232.3450012,224.5019989
