EUKLEMS code,_1970,_1971,_1972,_1973,_1974,_1975,_1976,_1977,_1978,_1979,_1980,_1981,_1982,_1983,_1984,_1985,_1986,_1987,_1988,_1989,_1990,_1991,_1992,_1993,_1994,_1995,_1996,_1997,_1998,_1999,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012
_51,942.5180054,1028.714966,934.867981,935.9580078,957.7620239,1368.765991,1385.112061,1482.312988,1599.463989,1868.881958,1977.119995,2107.690918,2601.802979,2795.26709,2696.469971,2761.344971,2851.939941,3195.676025,3181.009033,3182.25708,3138.339111,3139.345947,3276.87207,3659.131104,3858.836914,3806.660889,3557.593994,3633.218994,3579.268066,3784.503906,3587.187012,3673.928955,3609.570068,3465.987061,3618.438965,3485.927979,3434.659912,3104.408936,2864.320068,3197.153076,3132.784912,3144.843018,3108.0271
_52,1189.852051,1297.240967,1209.081055,1192.069946,1244.20105,1784.014038,1810.300049,2145.365967,2344.837891,2565.156982,2586.781982,2722.559082,3373.176025,3634.625977,3426.258057,3618.344971,3621.966064,4020.287109,4058.834961,4060.824951,4293.057129,4327.174805,4293.051758,4825.990234,5050.647949,5087.408203,5142.316895,5013.304199,5092.431152,5213.507813,4953.27002,5067.934082,5175.042969,4923.487793,5007.920898,4752.807129,4603.870117,4535.980957,4694.895996,4665.335938,4536.884766,4514.687988,4461.466797
_H,1908.656982,2078.437988,2147.384033,1952.000977,2141.616943,1928.745972,1958.67395,2001.977051,2186.489014,2248.552979,2285.246094,2239.908936,2197.447998,2044.833984,2068.533936,2217.523926,2226.596924,1919.078979,1951.615967,1966.774048,2023.253052,2127.218018,3009.979004,3410.449951,3696.60498,4036.870117,4427.353027,4751.411133,4288.059082,4412.320801,4578.76416,4686.84082,5381.515137,5219.004883,5374.243164,5223.882813,5385.46582,5179.584961,5049.301758,4789.466797,4582.771973,4354.030762,4508.494141
_60,580.0609741,631.6589966,604.6090088,600.6290283,609.0679932,750.5830078,759.7509766,822.9110107,878.7219849,980.6469727,985.5170288,981.6309814,945.2780151,1026.218994,1181.71106,1206.734009,1267.635986,1305.282959,1393.354004,1460.291992,1500.026001,1436.774048,1512.529053,1563.468994,1532.676025,1320.829956,1303.030029,1316.186035,1178.271973,1289.037964,1230.031006,1370.026001,1462.682007,1341.814941,1289.420044,1338.255981,1324.071045,1317.594971,1355.95105,1440.16394,1400.536987,1524.677002,1734.968994
_61,200.4929962,218.3269958,173.7299957,206.2180023,196.2259979,242.723999,245.6880035,280.3299866,338.8399963,342.5799866,358.6650085,328.3250122,338.4849854,333.1380005,335.1409912,319.5450134,306.9140015,296.6270142,296.9370117,339.9809875,358.1749878,293.1270142,276.8450012,226.7660065,261.881012,560.3460083,535.0709839,660.9260254,771.3449707,798.9050293,769.9249878,732.0739746,585.8430176,639.242981,761.9069824,715.427002,657.6489868,743.7559814,676.0859985,697.4849854,646.914978,517.0599976,305.8269958
_62,99.70999908,108.5790024,91.30400085,103.7630005,94.06800079,104.6159973,105.8929977,92.27100372,87.30200195,99.56099701,100.3389969,108.9020004,123.4380035,103.1880035,106.8939972,129.1179962,147.9629974,151.7299957,155.1009979,162.4949951,170.5130005,164.1900024,200.8899994,199.2960052,191.7109985,236.0970001,245.7030029,261.6359863,246.7660065,289.9530029,332.5119934,316.4849854,290.2539978,281.7950134,222.0039978,280.1350098,272.1430054,275.348999,226.0509949,281.678009,431.7659912,408.2709961,330.7690125
_63,25.48500061,27.75200081,25.68099976,25.76300049,27.65099907,35.05400085,35.48199844,33.3219986,37.01300049,43.95000076,41.08800125,41.28300095,48.19100189,53.16600037,53.5359993,74.8219986,75.01599884,80.35299683,97.15499878,88.42500305,98.83899689,339.9020081,374.2000122,388.7999878,375.1470032,354.1239929,351.2609863,362.2999878,333.2250061,359.8710022,390.7940063,387.1849976,436.8880005,407.5820007,472.7229919,447.0050049,450.9590149,458.6130066,477.3940125,528.9860229,534.5239868,573.8560181,630.9199829
_64,95.41600037,103.9029999,100.685997,102.6470032,106.2320023,110.5830002,115.5749969,128.951004,144.3439941,159.3289948,177.2250061,176.447998,174.4880066,180.2689972,191.8150024,193.8099976,199.0509949,198.2799988,213.1990051,222.4909973,225.7330017,240.0429993,268.4779968,272.321991,266.7260132,304.7590027,314.730011,318.9930115,317.9970093,347.8770142,446.6879883,485.6140137,494.4630127,541.5,578.5280151,609.6519775,657.4730225,580.1119995,550.2550049,402.7489929,364.0270081,356.8640137,286.3160095
_65,402.7980042,435.6960144,371.7479858,372.5950012,340.7659912,342.8659973,304.0010071,321.5100098,349.605011,368.2690125,316.9060059,371.2369995,395.6830139,527.6820068,577.0560303,608.9520264,644.367981,650.3939819,657.1450195,731.6719971,697.3660278,724.7449951,1007.513977,1117.803955,1140.214966,1152.983032,1180.647949,1208.237061,1233.061035,967.1160278,927.9769897,983.6450195,953.9379883,1015.409973,1042.255981,1007.794006,1089.421021,1052.79895,1152.655029,1130.55896,1138.290039,768.6690063,698.4370117
_66,0,0,0,0,0,0,62.30099869,64.25900269,69.87400055,88.98899841,116.7160034,138.6230011,100.8050003,83.81099701,84.33799744,98.7480011,80.75099945,124.4059982,125.1360016,148.5919952,186.5449982,196.3529968,217.6809998,320.1610107,314.9410095,359.7229919,358.8049927,384.855011,381.5710144,651.1610107,580.8989868,477.3970032,381.1329956,353.644989,386.1270142,366.803009,364.7319946,340.9769897,242.1699982,255.845993,312.2820129,569.5570068,554.572998
_67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.89099884,61.98400116,62.07300186,70.31900024,71.08999634,73.4960022,98.27100372,109.9469986,122.7040024,133.8280029,134.2559967,130.0140076,136.2669983,118.5429993,221.4550018,237.0780029,204.4299927,195.9420013,201.9250031,179.1029968,201.4940033,210.7669983,235.322998,254.1159973,222.7799988,404.1390076,407.9909973
_70imp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
