EUKLEMS code,_1970,_1971,_1972,_1973,_1974,_1975,_1976,_1977,_1978,_1979,_1980,_1981,_1982,_1983,_1984,_1985,_1986,_1987,_1988,_1989,_1990,_1991,_1992,_1993,_1994,_1995,_1996,_1997,_1998,_1999,_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012
_51,1164649.375,1652313.375,2156747.75,2798696.5,2858286,3357476,4482766,5847082,5919529.5,5661916.5,5082435,5460632.5,6421432.5,7265012.5,8911232,9258475,10638164,12491995,12302105,11252041,10914528,10384034,10111744,10500102,10394831,11089611,11046234,11701191,11565723,11719063,12002294,12337091,12783242,13168208,13324202,13640520,14033734,14490178,14916029,15304247,15785907,16248093,16671435
_52,2409155.75,2920593,3257518.5,3612037.5,3152180.25,3163932.25,3609684.25,4023196.75,4297230,4282375,3983694,4423019,5368779.5,6177840.5,7692984.5,8091806.5,9415941,11168374,13607246,14899368,16741892,18356432,19764470,22736298,24879002,29018980,31471312,35643428,33819668,32840286,32336636,32113322,32263214,32407746,32181866,32367336,32779082,33377500,33960516,34505740,35275488,36032648,36732968
_H,77598.71875,142543.3438,240906.8125,404762.9063,535236.5625,814044.5,1407266.875,2376647.5,2454347,2384590,2170582.25,2362855.25,2814658.25,3206752.5,3958198.75,4133756.5,4775227.5,5631387.5,10486270,14238028,18146902,21863762,24868734,30014550,34203388,41180852,45879192,52966996,52116104,52116188,52563940,53140540,54026768,54746912,54857516,55419836,56222392,57230936,58189860,59077608,60251216,61400296,62469664
_60,2985113.75,3652844,4138771.75,4626290,4089258.75,4162404,4803068.5,5424989.5,5103796,4698697.5,4192953.5,4324643,4796875,5578775,6371093,7052046,7995213.5,8758930,9504566,10569026,12194611,13535405,15007225,17311610,19802154,21385786,27911408,27468128,30026364,34769268,41941352,48457832,54591368,60543448,66757832,72433272,78712072,85358392,91848352,98141400,105015744,111830528,118450792
_61,1427007.75,1746210.375,1978503.875,2211557.75,1954834.625,1989801.125,2296065.25,2593369.25,2439825.25,2246171.5,2004405.125,2067358,2293104.5,2666885,3045645.75,3371169.5,3822042.25,4187130.25,4551636.5,5068742,5856231.5,6507221,7221436,8336121,9541841,10311807,13464619,13254772,13279943,14567627,17197242,19663544,22071078,24494718,27129038,29576610,32370734,35388616,38371620,41293380,44519756,47739880,50885300
_62,1203501.625,1472709,1668619.25,1865171,1648657.25,1678147,1936442.375,2187180.75,2057685.875,1894363.375,1690463.75,1743556.625,1933945.375,2249182.25,2568619.25,2843157.75,3223412.25,3531318,3788115.25,4172426.75,4771315,5257335.5,5792970,6650847.5,7572669,8140888,10590816,10400909,10584134,11803235,14130153,16299578,18403094,20506678,22776798,24880262,27268388,29838962,32374986,34855148,37588712,40314152,42974272
_63,1522130.625,1862611.125,2110389,2358978,2085142,2122439.25,2449118.75,2766240.5,2602461.75,2395899.25,2138016.75,2205166,2445960.75,2844657,3248665.5,3595888.25,4076816,4466240.5,4787544,5270041,6022998,6633361,7306217.5,8385566,9544905,10257981,13342155,13101081,14500603,16973452,20652740,23972840,27078400,30076698,33197880,36036668,39177460,42501996,45744856,48886572,52324576,55733060,59043812
_64,786868.875,998280,1172660.875,1358981.5,1245389,1314269.5,1572312,1841189.875,2103638,2325124.75,2479019.25,2946983.75,3576603.25,4553675.5,5512271,6383943.5,7483436.5,8411186,8634518,9152492,10078314,10752583,11516567,12929168,14395624,15126492,19357974,18806472,20990284,24904196,30691522,35231048,38929096,42039552,45274076,48083824,51279960,54674900,57902876,60961104,64448172,67843920,71029824
_65,807788.6875,1036825.5,1213246.5,1466900.625,1374619,1496022.25,1796575.125,2130095.5,2325411.5,2383666,2389400.5,2660775.5,3510276.5,3909831.25,4517779,5022602,6353215,7195820.5,7281341.5,8240891,7937058,8425335,10314333,12051569,12800548,17322952,21079764,22996558,22687036,21116432,23168436,25059720,27161360,28693216,28953084,29510248,30752712,32000484,32983242,33716724,34660596,35480280,36125240
_66,0,0,0,0,0,0,173076.4844,228320.4531,375594.2188,473603.4688,554440,675692.0625,971078.1875,1112826.25,1320884.125,1495760.125,1945797.875,2237403.25,2315599,2706155.5,2644614.5,2871631.5,3610775.5,4275720.5,4572957.5,6301357,7738625,8483152,8363501.5,7841228,8473737,9054133,9700810,10165324,10224565,10378492,10750748,11124767,11414508,11625034,11902805,12141297,12324445
_67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536038.375,941480,911621.8125,963826.1875,897880.3125,901951.875,1028360.688,1156399.125,1203202.875,1538580.75,1816016.25,1948653.5,2007361.5,1891314,2239190,2557830.25,2896532.5,3154291.25,3240360.75,3360044.5,3564488.5,3765469.5,3928161.25,4055002,4206290.5,4338697.5,4445904.5
_70imp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_70x,12505340,15980800,18957288,22709902,21037860,22077306,25875898,29430712,33105266,34184812,33451808,36057116,41816988,51005712,60022500,68313264,78866648,87090552,88015056,100565048,108871024,121574008,138126688,174214944,205040464,245816160,254632400,279070144,313275584,340622752,359174304,381351552,407277792,436955648,466928128,495560384,521524416,548795136,574116096,597258176,623009728,647204736,669059136
